year,avg_percent_ev
2024,5.554735964424697
2023,4.958807838867725
2022,5.469586497890296
2021,5.671543785735785
2020,4.256801302931599
2019,3.4808900523560293
2018,2.3770510774142037
2017,1.9444697633654653
