state,total_evs
WA,8168927
CA,9089
VA,4036
TX,2853
MD,1958
FL,1834
AZ,1716
OR,1359
NC,1090
CO,1086
NV,950
HI,894
NY,894
IL,884
GA,791
NJ,656
MA,576
Unknown,535
CT,509
SC,490
ID,489
PA,487
MO,385
AL,353
IN,342
UT,328
MN,316
MI,281
KS,258
DC,219
MT,209
OH,204
NE,200
KY,199
AK,193
OK,172
TN,145
LA,142
NH,132
RI,122
ME,113
NM,108
AR,77
MS,73
WI,52
PR,46
DE,43
SD,35
ND,34
IA,23
WY,17
