state,county,total_evs
NJ,Bergen,26
DE,Kent,26
ID,Madison,25
MT,Missoula,25
GA,Richmond,25
TN,Williamson,25
AZ,Yavapai,25
GA,Jones,24
TX,Guadalupe,24
VA,Newport News,24
IN,Howard,24
SC,Sumter,24
GA,Lumpkin,24
MT,Yellowstone,24
TX,Coryell,24
CA,Yuba,24
IA,Dallas,23
VA,Danville,23
OR,Lincoln,23
VA,Louisa,23
TN,Putnam,23
AZ,Cochise,23
AR,Sevier,23
SC,Dorchester,23
NM,Valencia,23
PA,Clinton,23
SC,Horry,22
GA,Columbia,21
MO,Pettis,21
ID,Latah,21
NJ,Atlantic,21
VA,Hanover,20
NM,Otero,20
GA,Liberty,20
AL,Shelby,20
NV,Churchill,19
LA,Orleans,19
VA,Richmond,19
ID,Canyon,18
DE,New Castle,17
WY,Laramie,17
TN,Hamilton,17
NC,Hoke,17
TN,Montgomery,16
FL,Miami-Dade,15
OK,Oklahoma,15
FL,Osceola,12
NC,Wilson,12
MN,St. Louis,12
FL,Nassau,12
OK,Jackson,12
CA,Santa Barbara,12
OR,Yamhill,12
NY,Tompkins,12
OH,Wood,12
TN,Bradley,11
MA,Hampshire,11
MD,Baltimore,11
PR,San Juan,11
UT,Cache,11
WI,Milwaukee,11
MN,Olmsted,11
FL,Bay,11
MA,Berkshire,11
CA,Tulare,11
NC,Mecklenburg,11
MN,Cass,11
CA,San Benito,11
MI,Kalamazoo,11
GA,Camden,10
IL,Champaign,10
KY,Jefferson,10
GA,Cobb,9
OH,Cuyahoga,9
VA,James City,8
GA,Houston,8
MO,St. Charles,8
MO,Jackson,8
WI,Dane,7
AL,Madison,7
GA,Bryan,7
TX,Hidalgo,5
RI,Kent,5
NY,Monroe,5
MO,Christian,5
NC,Guilford,4
NY,Lewis,4
OR,Douglas,4
OR,Wasco,3
NM,Bernalillo,2
MS,Jackson,2
ID,Shoshone,2
NC,Durham,2
OR,Hood River,1
FL,Marion,1
OH,Union,1
NY,Orange,1
